property_name,room_id,booking_window,stay_duration_in_days,lat,beds,bedroom,bathroom,parking,pool,beachfront,lng,average_daily_rate
Kamisama Homestay,399291,1,1,-8.654761,1,1,1,1,1,0,115.13041,600140.82
Puri Kelapa,428585,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,428586,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,428587,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,398563,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,405587,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,405584,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,405583,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,396433,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,398335,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,397711,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,397946,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,397394,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,397400,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,397396,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,397403,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,396232,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,395987,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Puri Kelapa,395986,2,1,-8.822391,1,1,1,1,1,0,115.0871096,349993.09
Villa Bahagia,396441,12,2,-8.803833,5,5,5,1,1,0,115.1450882,2520487.1
Villa Bahagia,396440,12,2,-8.803833,5,5,5,1,1,0,115.1450882,2520487.1
Uluwatu Village House,436733,0,1,-8.835272,1,1,1,1,1,0,115.119866,418033.48
Raka & Rai Guesthouse,398561,0,1,-8.6488877,1,1,1,1,1,0,115.1361637,490098.6
Raka & Rai Guesthouse,397688,0,1,-8.6488877,1,1,1,1,1,0,115.1361637,490098.6
Sunrise House,399308,32,2,-8.5740741,3,3,3,1,1,0,115.2136803,4662966.125
Comeback Guesthouse,398514,5,3,-8.6464854,1,1,1,1,1,0,115.1504805,466764.68
Comeback Guesthouse,398513,5,3,-8.6464854,1,1,1,1,1,0,115.1504805,466764.68
Comeback Guesthouse,398515,5,3,-8.6464854,1,1,1,1,1,0,115.1504805,466764.68
NH Residence,472846,49,3,-8.807392,3,3,5,1,1,0,115.157375,2122081.82
NH Residence,464417,49,3,-8.807392,3,3,5,1,1,0,115.157375,2122081.82
NH Residence,396432,49,3,-8.807392,3,3,5,1,1,0,115.157375,2122081.82
Villa Rumah Pertama,396445,136,1,-8.810648,4,4,5,1,1,0,115.156482,2822043.43
De Kutuh Villa,396430,91,4,-8.759660911000855,4,4,5,1,1,0,115.14811000006064,2384976.8925
NDBV Lot 3,399305,174,3,-8.8358803,3,3,4,1,1,1,115.2066574,5046471.476667
Kubu Mesari,399294,46,4,-8.631898,3,3,5,1,1,0,115.13356,1574944.05
Teges Asri,443739,3,2,-8.809038,1,1,1,1,1,0,115.115846,610124.815
Teges Asri,434758,3,2,-8.809038,1,1,1,1,1,0,115.115846,610124.815
Teges Asri,398528,3,2,-8.809038,1,1,1,1,1,0,115.115846,610124.815
Teges Asri,397739,3,2,-8.809038,1,1,1,1,1,0,115.115846,610124.815
Teges Asri,397689,3,2,-8.809038,1,1,1,1,1,0,115.115846,610124.815
Bingin Surf Left,402332,7,4,-8.759660911000855,1,1,1,1,1,0,115.14811000006064,477578.315
D''House of Gembala,381228,2,2,-7.7287222,3,3,3,1,1,0,110.3845639,2605494.525
Omah Gerjen 29,435784,4,4,-7.802683,1,1,1,1,0,0,110.360967,480111.9525
Omah Gerjen 29,381229,4,4,-7.802683,1,1,1,1,0,0,110.360967,480111.9525
Omah Gerjen 29,378269,4,4,-7.802683,1,1,1,1,0,0,110.360967,480111.9525
Omah Gerjen 29,378268,4,4,-7.802683,1,1,1,1,0,0,110.360967,480111.9525
Omah Gerjen 29,378267,4,4,-7.802683,1,1,1,1,0,0,110.360967,480111.9525
Omah Gerjen 29,378266,4,4,-7.802683,1,1,1,1,0,0,110.360967,480111.9525
Omah Gerjen 29,378260,4,4,-7.802683,1,1,1,1,0,0,110.360967,480111.9525
Rumah Budi Susanto,475730,13,1,-7.770902,2,2,2,1,0,0,110.4285759,1350218.56
Rumah Budi Susanto,387364,13,1,-7.770902,2,2,2,1,0,0,110.4285759,1350218.56
Pondok Bagus Guesthouse,397679,1,1,-8.652609,1,1,1,1,1,0,115.13751,410111.41
Pondok Bagus Guesthouse,397680,1,1,-8.652609,1,1,1,1,1,0,115.13751,410111.41
Villa Arindra,441616,25,2,-8.797821,1,1,1,1,1,0,115.149441,2500524.09
Villa Arindra,417040,25,2,-8.797821,1,1,1,1,1,0,115.149441,2500524.09
Villa Arindra,396438,25,2,-8.797821,1,1,0,1,1,0,115.149441,2500524.09
Villa Arindra,395989,25,2,-8.797821,1,1,1,1,1,0,115.149441,2500524.09
Asri Village,397667,3,1,-8.835766,1,1,1,1,1,0,115.123054,430009.8
Villa Kyl 2BR,395990,133,2,-8.837896,2,2,3,1,1,0,115.151689,1881389.8
Villa Tortoise,425903,3,3,-8.8054876,1,1,1,0,0,1,115.1137161,3366571.243333
Villa Tortoise,399315,3,3,-8.8054876,1,1,1,0,0,1,115.1137161,3366571.243333
Villa Tortoise,399303,3,3,-8.8054876,4,4,2,0,0,1,115.1137161,3366571.243333
Goa Giri Hill Bungalow,393208,14,1,-8.709399,1,1,1,1,0,1,115.586846,320117.19
Goa Giri Hill Bungalow,393265,14,1,-8.709399,1,1,1,1,0,0,115.586846,320117.19
Goa Giri Hill Bungalow,393264,14,1,-8.709399,1,1,1,1,0,0,115.586846,320117.19
Goa Giri Hill Bungalow,393209,14,1,-8.709399,1,1,1,1,0,1,115.586846,320117.19
Goa Giri Hill Bungalow,393207,14,1,-8.709399,1,1,1,1,0,1,115.586846,320117.19
Amazon Guesthouse,397693,1,6,-8.646509,1,1,1,1,1,0,115.154492,446768.575
Pondok Nini Villa,399307,89,12,-8.50706,3,3,3,1,1,0,115.276521,1080222.5475
Pondok Chesia,398521,0,2,-8.6385989,1,1,1,1,0,0,115.1438355,450070.39
Pondok Chesia,397682,0,2,-8.6385989,1,1,1,1,0,0,115.1438355,450070.39
Dream Breeze Village,434365,0,7,-8.836065,1,1,1,1,0,0,115.11936,384357.621429
Dream Breeze Village,399834,0,7,-8.836065,1,1,1,1,0,0,115.11936,384357.621429
Dream Breeze Village,397675,0,7,-8.836065,1,1,1,1,0,0,115.11936,384357.621429
Kinton Guesthouse,434895,1,3,-8.675762,1,1,1,1,0,0,115.56743,213356.563333
Kinton Guesthouse,393188,1,3,-8.675762,1,1,1,1,0,0,115.56743,213356.563333
Kinton Guesthouse,391680,1,3,-8.675762,1,1,1,1,0,0,115.56743,213356.563333
Breeze Hidden Village,435112,0,2,-8.835812,1,1,1,1,0,0,115.118645,375075.34
Breeze Hidden Village,434923,0,2,-8.835812,1,1,1,1,0,0,115.118645,375075.34
Breeze Hidden Village,399830,0,2,-8.835812,1,1,1,1,0,0,115.118645,375075.34
Breeze Hidden Village,397714,0,2,-8.835812,1,1,1,1,0,0,115.118645,375075.34
Breeze Hidden Village,397668,0,2,-8.835812,1,1,1,1,0,0,115.118645,375075.34
Breeze Hidden Village,396428,0,2,-8.835812,1,1,1,1,0,0,115.118645,375075.34
Villa Malindo,399314,17,7,-8.7846485,3,3,3,1,1,0,115.1552891,1584319.314286
Rumah Taman Kutuh Guesthouse,434892,2,1,-8.4890655,1,1,1,1,1,0,115.2673239,360095.84
Rumah Taman Kutuh Guesthouse,397715,2,1,-8.4890655,1,1,1,1,1,0,115.2673239,360095.84
Uttara by Stay Habitat,381223,71,4,-7.7584523,1,1,1,0,1,0,110.3804561,760141.135
Villa Kanha,399313,2,4,-8.800425,2,2,2,1,1,0,115.147582,1025207.515
Uluwatu Kayana Bungalows,397692,1,5,-8.837085,1,1,1,1,1,0,115.100357,452091.346
Villa Olel,397743,2,14,-8.759660911000855,1,1,1,1,1,0,115.14811000006064,2889692.975714
Villa Olel,397697,2,14,-8.759660911000855,1,1,1,1,1,0,115.14811000006064,2889692.975714
Villa Olel,397696,2,14,-8.759660911000855,1,1,1,1,1,0,115.14811000006064,2889692.975714
Villa Olel,397695,2,14,-8.759660911000855,2,2,2,1,1,0,115.14811000006064,2889692.975714
Villa Blu Apsara,396442,32,7,-8.830237,3,3,5,1,1,0,115.167079,1656323.744286
Merta Beach Bungalow,393194,5,4,-8.67666,1,1,1,1,0,1,115.514889,470062.035
Merta Beach Bungalow,441730,5,4,-8.67666,1,1,1,1,0,1,115.514889,470062.035
Merta Beach Bungalow,424242,5,4,-8.67666,1,1,1,1,0,1,115.514889,470062.035
Yoga Searcher,399316,22,3,-8.759660911000855,1,1,1,1,1,0,115.14811000006064,1680818.96
Raja Surga Ubud,399837,10,3,-8.4584881,1,1,1,1,1,0,115.280513,500115.5
Maharaja Residence Homestay,396431,13,1,-8.824442,5,5,5,1,1,0,115.163821,1620298.62
Song Cang Bungalow,393196,7,2,-8.6965183,1,1,1,1,1,0,115.5792547,320063.455
Poling Sea View,411604,0,1,-8.6768119,1,1,1,0,0,0,115.566473,333406.19
Poling Sea View,411609,0,1,-8.6768119,1,1,1,0,0,0,115.566473,333406.19
Poling Sea View,393195,0,1,-8.6768119,1,1,1,0,0,0,115.566473,333406.19
Buyuk Pillas Bungalow,393187,1,1,-8.675,1,1,1,1,0,0,115.5445613,210050.15
Buyuk Pillas Bungalow,416992,1,1,-8.675,1,1,1,1,0,0,115.5445613,210050.15
Buyuk Pillas Bungalow,391676,1,1,-8.675,1,1,1,1,0,0,115.5445613,210050.15
Omah JeTeHa,387376,1,3,-8.759660911000855,3,3,2,1,0,0,115.14811000006064,1260268.333333
Ndalem Panembahan,381230,26,2,-7.8064016,1,1,1,1,0,0,110.3657658,2780559.5
Roemah Noni,387366,1,2,-8.759660911000855,3,3,2,1,0,0,115.14811000006064,1000200.005
Griya Wirosaban,378261,0,1,-7.8317661,3,3,2,1,0,0,110.3806358,963192.6
